"location","additionalcapacity_family","additionalcapacity_group","additionalcapacity_total","children_0to5","capacity","percentworking","percentworking_moe","keep","percentworking_lci","percentworking_uci","newcapacity_sb142","percentcapacity_0to5","newpercentcapacity_0to5","capacityincrease","percentcapacity_working","newpercentcapacity_working","capacityincrease_working"
"Judith Basin",0,8,8,112,12,0.363636363636364,0.196225533992797,0,0.167410829643567,0.559861897629161,20,0.107142857142857,0.178571428571429,0.0714285714285714,0.294642857142857,0.491071428571429,0.196428571428571
"Lake",24,120,144,2187,518,0.681861804222649,0.121061492543322,1,0.560800311679327,0.802923296765971,662,0.236854138088706,0.302697759487883,0.065843621399177,0.347363845022423,0.443928311592363,0.09656446656994
"Lewis & Clark",56,224,280,4841,2373,0.737491586268791,0.0996491394142102,1,0.63784244685458,0.837140725683001,2653,0.49018797769056,0.548027267093576,0.0578392894030159,0.664669247510443,0.743096297364182,0.0784270498537395
"Liberty",4,8,12,145,18,0.466216216216216,0.250715825121906,0,0.21550039109431,0.716932041338123,30,0.124137931034483,0.206896551724138,0.0827586206896552,0.266266866566717,0.443778110944528,0.177511244377811
"Lincoln",20,64,84,1028,268,0.398365679264556,0.140480439311698,1,0.257885239952858,0.538846118576253,352,0.260700389105058,0.342412451361868,0.0817120622568093,0.654424822907313,0.85954305098274,0.205118228075426
"Madison",8,24,32,384,72,0.680459770114943,0.155957526271258,1,0.524502243843684,0.836417296386201,104,0.1875,0.270833333333333,0.0833333333333333,0.275548986486486,0.398015202702703,0.122466216216216
"McCone",4,16,20,114,30,0.45,0.172690112629531,1,0.277309887370469,0.622690112629531,50,0.263157894736842,0.43859649122807,0.175438596491228,0.584795321637427,0.974658869395711,0.389863547758285
"Meagher",0,8,8,104,12,0.696428571428571,0.306965262423744,0,0.389463309004828,1.00339383385232,20,0.115384615384615,0.192307692307692,0.0769230769230769,0.165680473372781,0.276134122287968,0.110453648915187
"Mineral",8,8,16,257,35,0.70952380952381,0.201927725385289,1,0.507596084138521,0.911451534909098,51,0.136186770428016,0.198443579766537,0.0622568093385214,0.191941085838143,0.279685582221294,0.087744496383151
"Missoula",124,472,596,7201,3225,0.787505435570373,0.0759418955146713,1,0.711563540055701,0.863447331085044,3821,0.447854464657686,0.530620747118456,0.0827662824607693,0.568700156759319,0.673799472551118,0.1050993157918
"Musselshell",8,8,16,260,28,0.346570397111913,0.170412355987207,0,0.176158041124706,0.516982753099121,44,0.107692307692308,0.169230769230769,0.0615384615384615,0.310737179487179,0.488301282051282,0.177564102564103
"Park",4,40,44,884,350,0.602791878172589,0.20415963846711,1,0.398632239705479,0.806951516639699,394,0.395927601809955,0.445701357466063,0.0497737556561086,0.656823053107883,0.739395094070017,0.0825720409621339
"Petroleum",0,0,0,17,0,0.894736842105263,0.446559391277266,0,0.448177450827997,1.34129623338253,0,0,0,0,0,0,0
"Phillips",4,8,12,326,75,0.475218658892128,0.181172986501381,1,0.294045672390748,0.656391645393509,87,0.230061349693252,0.266871165644172,0.0368098159509203,0.484116827882118,0.561575520343257,0.077458692461139
"Pondera",8,32,40,517,72,0.589211618257261,0.169450259840377,1,0.419761358416885,0.758661878097638,112,0.13926499032882,0.216634429400387,0.0773694390715667,0.236358187811589,0.367668292151361,0.131310104339772
"Powder River",0,8,8,101,12,0.481132075471698,0.23261776188191,0,0.248514313589788,0.713749837353608,20,0.118811881188119,0.198019801980198,0.0792079207920792,0.246942341292953,0.411570568821588,0.164628227528635
"Powell",0,40,40,329,60,0.495049504950495,0.255507992516258,0,0.239541512434237,0.750557497466753,100,0.182370820668693,0.303951367781155,0.121580547112462,0.36838905775076,0.613981762917933,0.245592705167173
"Prairie",0,8,8,75,12,0.507246376811594,0.345269130230262,0,0.161977246581333,0.852515507041856,20,0.16,0.266666666666667,0.106666666666667,0.315428571428571,0.525714285714286,0.210285714285714
"Ravalli",40,136,176,2484,657,0.613508442776735,0.111772807159373,1,0.501735635617363,0.725281249936108,833,0.264492753623188,0.335346215780998,0.07085346215781,0.431115099942384,0.546604076487071,0.115488976544687
"Richland",20,16,36,852,152,0.493686868686869,0.156096940219022,1,0.337589928467847,0.649783808905891,188,0.178403755868545,0.220657276995305,0.0422535211267606,0.361370267641656,0.446957962609416,0.0855876949677605
"Roosevelt",0,24,24,1296,36,0.598696461824953,0.133136628386034,1,0.46555983343892,0.731833090210987,60,0.0277777777777778,0.0462962962962963,0.0185185185185185,0.0463970969414204,0.0773284949023674,0.0309313979609469
"Rosebud",0,24,24,893,123,0.422031473533619,0.125582154634298,1,0.296449318899321,0.547613628167918,147,0.137737961926092,0.16461366181411,0.0268756998880179,0.326368933513011,0.390050676637501,0.0636817431244899
"Sanders",4,24,28,689,44,0.444821731748727,0.129315507922522,1,0.315506223826205,0.574137239671248,72,0.0638606676342525,0.104499274310595,0.0406386066763425,0.143564630673949,0.234923941102826,0.0913593104288769
"Sheridan",0,24,24,220,37,0.518151815181518,0.129935236366708,1,0.38821657881481,0.648087051548226,61,0.168181818181818,0.277272727272727,0.109090909090909,0.324580196873191,0.535118702953098,0.210538506079907
"Silver Bow",36,232,268,2357,833,0.616813748258244,0.126772376383004,1,0.490041371875241,0.743586124641248,1101,0.353415358506576,0.467119219346627,0.113703860840051,0.572969327458327,0.757309999437717,0.18434067197939
"Stillwater",0,24,24,537,86,0.379157427937916,0.133938075947052,1,0.245219351990864,0.513095503884968,110,0.160148975791434,0.204841713221601,0.0446927374301676,0.422381216853431,0.540255044812528,0.117873827959097
"Sweet Grass",4,8,12,224,20,0.594594594594595,0.196578122135498,1,0.398016472459096,0.791172716730093,32,0.0892857142857143,0.142857142857143,0.0535714285714286,0.150162337662338,0.24025974025974,0.0900974025974026
"Teton",20,8,28,512,42,0.425764192139738,0.104285081295123,1,0.321479110844615,0.530049273434861,70,0.08203125,0.13671875,0.0546875,0.192668269230769,0.321113782051282,0.128445512820513
"Toole",0,0,0,367,35,0.611650485436893,0.240445566357137,1,0.371204919079756,0.852096051794031,35,0.0953678474114441,0.0953678474114441,0,0.155918861640932,0.155918861640932,0
"Treasure",0,0,0,67,0,0.657894736842105,0.3263206100411,0,0.331574126801005,0.984215346883205,0,0,0,0,0,0,0
"Valley",24,8,32,526,100,0.696537678207739,0.14638714782073,1,0.55015053038701,0.842924826028469,132,0.190114068441065,0.250950570342205,0.0608365019011407,0.2729415427034,0.360282836368488,0.0873412936650879
"Wheatland",0,8,8,131,12,0.864516129032258,0.268651292181204,0,0.595864836851054,1.13316742121346,20,0.0916030534351145,0.152671755725191,0.0610687022900763,0.105958755839125,0.176597926398542,0.0706391705594166
"Wibaux",0,0,0,75,0,0.912,0.478382345092291,0,0.433617654907709,1.39038234509229,0,0,0,0,0,0,0
"Yellowstone",276,664,940,11966,4235,0.688370870212952,0.0522046335712927,1,0.63616623664166,0.740575503784245,5175,0.353919438408825,0.432475346815979,0.0785559084071536,0.514140638024583,0.628259221198871,0.114118583174288
"Montana",1044,3608,4652,74016,22531,0.638065118953497,0.0206154111475505,1,0.617449707805946,0.658680530101047,27183,0.304407155209684,0.367258430609598,0.0628512753999136,0.47707850839574,0.575581425312742,0.0985029169170024
